,date,Name,state,FIPS,positive,AQI,date_str
212,2020-04-20,Colorado,CO,8,85130,52.14285714,04/20/2020
963,2020-04-20,Minnesota,MN,27,33094,51.85714286,04/20/2020
2004,2020-04-20,Wisconsin,WI,55,44489,42.71428571,04/20/2020
1710,2020-04-20,South Dakota,SD,46,14213,33.28571429,04/20/2020
89,2020-04-20,Arkansas,AR,5,18496,32.42857143,04/20/2020
922,2020-04-20,Michigan,MI,26,296479,45.71428571,04/20/2020
463,2020-04-20,Hawaii,HI,15,4168,38.42857143,04/20/2020
1875,2020-04-20,Virginia,VA,51,81359,40.42857143,04/20/2020
710,2020-04-20,Kentucky,KY,21,24854,45.71428571,04/20/2020
171,2020-04-20,California,CA,6,272045,66.14285714,04/20/2020
1545,2020-04-20,Oregon,OR,41,15283,36.14285714,04/20/2020
1253,2020-04-20,New Hampshire,NH,33,11611,41.71428571,04/20/2020
1751,2020-04-20,Tennessee,TN,47,61002,49.57142857,04/20/2020
7,2020-04-20,Alaska,AK,2,2365,17.42857143,04/20/2020
1168,2020-04-20,North Dakota,ND,38,5389,36.85714286,04/20/2020
880,2020-04-20,Maine,ME,23,6725,44.85714286,04/20/2020
504,2020-04-20,Iowa,IA,19,32194,25.57142857,04/20/2020
1127,2020-04-20,North Carolina,NC,37,56426,44.71428571,04/20/2020
1045,2020-04-20,Mississippi,MS,28,37920,41.14285714,04/20/2020
1380,2020-04-20,Nevada,NV,32,30455,43.42857143,04/20/2020
751,2020-04-20,Louisiana,LA,22,182344,33.71428571,04/20/2020
1628,2020-04-20,Rhode Island,RI,44,49521,40.71428571,04/20/2020
1422,2020-04-20,New York,NY,36,1906140,24.57142857,04/20/2020
48,2020-04-20,Alabama,AL,1,41212,43.42857143,04/20/2020
1086,2020-04-20,Montana,MT,30,3104,27.28571429,04/20/2020
253,2020-04-20,Connecticut,CT,9,164970,39.14285714,04/20/2020
2045,2020-04-20,West Virginia,WV,54,6935,39.42857143,04/20/2020
1004,2020-04-20,Missouri,MO,29,46018,28.14285714,04/20/2020
1916,2020-04-20,Vermont,VT,50,5863,45.42857143,04/20/2020
798,2020-04-20,Massachusetts,MA,25,351790,37.14285714,04/20/2020
381,2020-04-20,Florida,FL,12,200548,40.71428571,04/20/2020
1833,2020-04-20,Utah,UT,49,26439,50.42857143,04/20/2020
1463,2020-04-20,Ohio,OH,39,105580,40.14285714,04/20/2020
1298,2020-04-20,New Jersey,NJ,34,716186,40.57142857,04/20/2020
628,2020-04-20,Indiana,IN,18,96622,45.71428571,04/20/2020
130,2020-04-20,Arizona,AZ,4,42046,52.85714286,04/20/2020
2087,2020-04-20,Wyoming,WY,56,3327,38.14285714,04/20/2020
1212,2020-04-20,Nebraska,NE,31,15488,34.14285714,04/20/2020
586,2020-04-20,Illinois,IL,17,276322,50.71428571,04/20/2020
1586,2020-04-20,Pennsylvania,PA,42,269181,45.0,04/20/2020
1339,2020-04-20,New Mexico,NM,35,17391,47.28571429,04/20/2020
839,2020-04-20,Maryland,MD,24,117155,27.71428571,04/20/2020
1669,2020-04-20,South Carolina,SC,45,35267,40.85714286,04/20/2020
1792,2020-04-20,Texas,TX,48,159716,38.57142857,04/20/2020
1504,2020-04-20,Oklahoma,OK,40,21565,38.71428571,04/20/2020
670,2020-04-27,Kansas,KS,20,30937,33.71428571,04/27/2020
1464,2020-04-27,Ohio,OH,39,130565,38.28571429,04/27/2020
799,2020-04-27,Massachusetts,MA,25,448520,40.28571429,04/27/2020
1670,2020-04-27,South Carolina,SC,45,43588,40.42857143,04/27/2020
1587,2020-04-27,Pennsylvania,PA,42,328028,42.0,04/27/2020
923,2020-04-27,Michigan,MI,26,335281,50.0,04/27/2020
1505,2020-04-27,Oklahoma,OK,40,26116,36.28571429,04/27/2020
1087,2020-04-27,Montana,MT,30,3175,19.85714286,04/27/2020
1423,2020-04-27,New York,NY,36,2155828,25.42857143,04/27/2020
1128,2020-04-27,North Carolina,NC,37,75969,39.0,04/27/2020
711,2020-04-27,Kentucky,KY,21,32656,40.85714286,04/27/2020
546,2020-04-27,Idaho,ID,16,14025,37.28571429,04/27/2020
1005,2020-04-27,Missouri,MO,29,55419,24.71428571,04/27/2020
1299,2020-04-27,New Jersey,NJ,34,848692,33.85714286,04/27/2020
1381,2020-04-27,Nevada,NV,32,36153,47.0,04/27/2020
881,2020-04-27,Maine,ME,23,7856,45.85714286,04/27/2020
1340,2020-04-27,New Mexico,NM,35,24724,42.28571429,04/27/2020
1546,2020-04-27,Oregon,OR,41,17963,40.57142857,04/27/2020
1629,2020-04-27,Rhode Island,RI,44,64532,42.28571429,04/27/2020
505,2020-04-27,Iowa,IA,19,55761,28.42857143,04/27/2020
1711,2020-04-27,South Dakota,SD,46,17547,35.0,04/27/2020
752,2020-04-27,Louisiana,LA,22,199811,42.0,04/27/2020
964,2020-04-27,Minnesota,MN,27,59825,37.42857143,04/27/2020
1046,2020-04-27,Mississippi,MS,28,49806,41.57142857,04/27/2020
1254,2020-04-27,New Hampshire,NH,33,15475,42.28571429,04/27/2020
629,2020-04-27,Indiana,IN,18,129970,40.71428571,04/27/2020
840,2020-04-27,Maryland,MD,24,162519,23.71428571,04/27/2020
1169,2020-04-27,North Dakota,ND,38,7767,33.42857143,04/27/2020
1213,2020-04-27,Nebraska,NE,31,30871,25.71428571,04/27/2020
587,2020-04-27,Illinois,IL,17,391274,36.71428571,04/27/2020
336,2020-04-27,Delaware,DE,10,34416,38.85714286,04/27/2020
2088,2020-04-27,Wyoming,WY,56,3966,38.42857143,04/27/2020
90,2020-04-27,Arkansas,AR,5,23140,37.14285714,04/27/2020
49,2020-04-27,Alabama,AL,1,50890,47.42857143,04/27/2020
254,2020-04-27,Connecticut,CT,9,196881,38.57142857,04/27/2020
295,2020-04-27,District of Columbia,DC,11,32064,38.0,04/27/2020
1834,2020-04-27,Utah,UT,49,33811,43.14285714,04/27/2020
1876,2020-04-27,Virginia,VA,51,117941,42.85714286,04/27/2020
423,2020-04-27,Georgia,GA,13,189939,37.85714286,04/27/2020
1793,2020-04-27,Texas,TX,48,204943,48.28571429,04/27/2020
382,2020-04-27,Florida,FL,12,234381,51.85714286,04/27/2020
1752,2020-04-27,Tennessee,TN,47,82453,39.57142857,04/27/2020
172,2020-04-27,California,CA,6,351640,55.57142857,04/27/2020
1964,2020-04-27,Washington,WA,53,110667,34.28571429,04/27/2020
213,2020-04-27,Colorado,CO,8,109893,43.28571429,04/27/2020
131,2020-04-27,Arizona,AZ,4,55683,50.57142857,04/27/2020
2046,2020-04-27,West Virginia,WV,54,7994,35.71428571,04/27/2020
8,2020-04-27,Alaska,AK,2,2528,29.0,04/27/2020
1917,2020-04-27,Vermont,VT,50,6151,46.42857143,04/27/2020
464,2020-04-27,Hawaii,HI,15,4306,34.14285714,04/27/2020
2005,2020-04-27,Wisconsin,WI,55,59338,37.57142857,04/27/2020
173,2020-05-04,California,CA,6,437333,52.85714286,05/04/2020
1547,2020-05-04,Oregon,OR,41,21486,37.71428571,05/04/2020
1877,2020-05-04,Virginia,VA,51,156771,37.85714286,05/04/2020
1255,2020-05-04,New Hampshire,NH,33,19925,42.57142857,05/04/2020
1712,2020-05-04,South Dakota,SD,46,22073,37.0,05/04/2020
924,2020-05-04,Michigan,MI,26,365477,45.14285714,05/04/2020
671,2020-05-04,Kansas,KS,20,44652,40.71428571,05/04/2020
1088,2020-05-04,Montana,MT,30,3201,21.57142857,05/04/2020
2006,2020-05-04,Wisconsin,WI,55,76825,42.28571429,05/04/2020
588,2020-05-04,Illinois,IL,17,511660,44.85714286,05/04/2020
2047,2020-05-04,West Virginia,WV,54,9144,38.0,05/04/2020
91,2020-05-04,Arkansas,AR,5,25897,49.14285714,05/04/2020
965,2020-05-04,Minnesota,MN,27,89006,39.71428571,05/04/2020
1341,2020-05-04,New Mexico,NM,35,32305,44.0,05/04/2020
424,2020-05-04,Georgia,GA,13,223852,42.14285714,05/04/2020
547,2020-05-04,Idaho,ID,16,15234,30.28571429,05/04/2020
132,2020-05-04,Arizona,AZ,4,72942,46.57142857,05/04/2020
1506,2020-05-04,Oklahoma,OK,40,30774,45.42857143,05/04/2020
1300,2020-05-04,New Jersey,NJ,34,947134,32.42857143,05/04/2020
1918,2020-05-04,Vermont,VT,50,6415,43.42857143,05/04/2020
1006,2020-05-04,Missouri,MO,29,66276,40.71428571,05/04/2020
255,2020-05-04,Connecticut,CT,9,226114,43.71428571,05/04/2020
1794,2020-05-04,Texas,TX,48,256388,48.42857143,05/04/2020
1047,2020-05-04,Mississippi,MS,28,62960,48.42857143,05/04/2020
800,2020-05-04,Massachusetts,MA,25,524348,43.57142857,05/04/2020
1630,2020-05-04,Rhode Island,RI,44,77815,40.71428571,05/04/2020
1382,2020-05-04,Nevada,NV,32,41185,44.0,05/04/2020
2089,2020-05-04,Wyoming,WY,56,4498,30.0,05/04/2020
337,2020-05-04,Delaware,DE,10,42488,43.28571429,05/04/2020
841,2020-05-04,Maryland,MD,24,212633,32.66666667,05/04/2020
1129,2020-05-04,North Carolina,NC,37,96448,36.14285714,05/04/2020
882,2020-05-04,Maine,ME,23,9490,41.57142857,05/04/2020
296,2020-05-04,District of Columbia,DC,11,41099,38.85714286,05/04/2020
630,2020-05-04,Indiana,IN,18,161037,48.57142857,05/04/2020
1965,2020-05-04,Washington,WA,53,122307,33.57142857,05/04/2020
465,2020-05-04,Hawaii,HI,15,4393,42.0,05/04/2020
214,2020-05-04,Colorado,CO,8,131349,44.28571429,05/04/2020
1424,2020-05-04,New York,NY,36,2308618,22.0,05/04/2020
9,2020-05-04,Alaska,AK,2,2632,20.0,05/04/2020
1170,2020-05-04,North Dakota,ND,38,9853,33.2,05/04/2020
1588,2020-05-04,Pennsylvania,PA,42,379036,42.42857143,05/04/2020
1753,2020-05-04,Tennessee,TN,47,101462,46.14285714,05/04/2020
1465,2020-05-04,Ohio,OH,39,160247,36.42857143,05/04/2020
1671,2020-05-04,South Carolina,SC,45,50608,39.0,05/04/2020
50,2020-05-04,Alabama,AL,1,64338,47.57142857,05/04/2020
753,2020-05-04,Louisiana,LA,22,216734,41.0,05/04/2020
1835,2020-05-04,Utah,UT,49,41403,45.28571429,05/04/2020
1214,2020-05-04,Nebraska,NE,31,50862,31.71428571,05/04/2020
383,2020-05-04,Florida,FL,12,265308,50.0,05/04/2020
712,2020-05-04,Kentucky,KY,21,42298,42.57142857,05/04/2020
506,2020-05-04,Iowa,IA,19,79034,39.71428571,05/04/2020
589,2020-05-11,Illinois,IL,17,629158,46.71428571,05/11/2020
1631,2020-05-11,Rhode Island,RI,44,88436,39.0,05/11/2020
1795,2020-05-11,Texas,TX,48,315976,45.57142857,05/11/2020
1425,2020-05-11,New York,NY,36,2417734,19.57142857,05/11/2020
338,2020-05-11,Delaware,DE,10,51375,40.42857143,05/11/2020
215,2020-05-11,Colorado,CO,8,148475,45.0,05/11/2020
174,2020-05-11,California,CA,6,524685,39.42857143,05/11/2020
384,2020-05-11,Florida,FL,12,297440,53.0,05/11/2020
133,2020-05-11,Arizona,AZ,4,91493,39.71428571,05/11/2020
1966,2020-05-11,Washington,WA,53,133289,36.28571429,05/11/2020
2007,2020-05-11,Wisconsin,WI,55,93370,44.42857143,05/11/2020
842,2020-05-11,Maryland,MD,24,258296,34.0,05/11/2020
1383,2020-05-11,Nevada,NV,32,46290,39.42857143,05/11/2020
883,2020-05-11,Maine,ME,23,11208,40.85714286,05/11/2020
966,2020-05-11,Minnesota,MN,27,119451,39.28571429,05/11/2020
801,2020-05-11,Massachusetts,MA,25,583427,43.28571429,05/11/2020
925,2020-05-11,Michigan,MI,26,401935,54.71428571,05/11/2020
631,2020-05-11,Indiana,IN,18,186621,42.42857143,05/11/2020
672,2020-05-11,Kansas,KS,20,54050,33.14285714,05/11/2020
1836,2020-05-11,Utah,UT,49,48404,42.57142857,05/11/2020
1466,2020-05-11,Ohio,OH,39,188133,36.71428571,05/11/2020
1919,2020-05-11,Vermont,VT,50,6529,39.0,05/11/2020
1342,2020-05-11,New Mexico,NM,35,39622,39.14285714,05/11/2020
1007,2020-05-11,Missouri,MO,29,73330,45.28571429,05/11/2020
1089,2020-05-11,Montana,MT,30,3257,21.85714286,05/11/2020
51,2020-05-11,Alabama,AL,1,78491,38.57142857,05/11/2020
1672,2020-05-11,South Carolina,SC,45,58615,42.71428571,05/11/2020
507,2020-05-11,Iowa,IA,19,97859,34.28571429,05/11/2020
1878,2020-05-11,Virginia,VA,51,200242,37.71428571,05/11/2020
1256,2020-05-11,New Hampshire,NH,33,23778,40.42857143,05/11/2020
713,2020-05-11,Kentucky,KY,21,50655,40.57142857,05/11/2020
1215,2020-05-11,Nebraska,NE,31,66095,37.85714286,05/11/2020
1048,2020-05-11,Mississippi,MS,28,75133,45.28571429,05/11/2020
1548,2020-05-11,Oregon,OR,41,24644,34.85714286,05/11/2020
1713,2020-05-11,South Dakota,SD,46,27047,35.85714286,05/11/2020
2090,2020-05-11,Wyoming,WY,56,5041,35.85714286,05/11/2020
92,2020-05-11,Arkansas,AR,5,31177,34.28571429,05/11/2020
1130,2020-05-11,North Carolina,NC,37,120315,43.42857143,05/11/2020
1754,2020-05-11,Tennessee,TN,47,118837,40.85714286,05/11/2020
2048,2020-05-11,West Virginia,WV,54,10075,34.0,05/11/2020
425,2020-05-11,Georgia,GA,13,255435,46.28571429,05/11/2020
1589,2020-05-11,Pennsylvania,PA,42,423848,42.28571429,05/11/2020
256,2020-05-11,Connecticut,CT,9,252975,42.85714286,05/11/2020
1171,2020-05-11,North Dakota,ND,38,12353,31.57142857,05/11/2020
10,2020-05-11,Alaska,AK,2,2739,39.42857143,05/11/2020
1301,2020-05-11,New Jersey,NJ,34,1008374,40.28571429,05/11/2020
1507,2020-05-11,Oklahoma,OK,40,35577,32.85714286,05/11/2020
466,2020-05-11,Hawaii,HI,15,4461,32.71428571,05/11/2020
754,2020-05-11,Louisiana,LA,22,235296,36.14285714,05/11/2020
297,2020-05-11,District of Columbia,DC,11,48111,37.71428571,05/11/2020
548,2020-05-11,Idaho,ID,16,16455,32.57142857,05/11/2020
632,2020-05-18,Indiana,IN,18,212316,51.0,05/18/2020
1967,2020-05-18,Washington,WA,53,144858,41.0,05/18/2020
385,2020-05-18,Florida,FL,12,333958,55.71428571,05/18/2020
1172,2020-05-18,North Dakota,ND,38,15459,34.0,05/18/2020
508,2020-05-18,Iowa,IA,19,115359,29.85714286,05/18/2020
1426,2020-05-18,New York,NY,36,2506032,17.57142857,05/18/2020
843,2020-05-18,Maryland,MD,24,310784,33.42857143,05/18/2020
1131,2020-05-18,North Carolina,NC,37,152211,45.85714286,05/18/2020
1216,2020-05-18,Nebraska,NE,31,79803,59.28571429,05/18/2020
1384,2020-05-18,Nevada,NV,32,52213,45.42857143,05/18/2020
216,2020-05-18,Colorado,CO,8,164364,47.28571429,05/18/2020
714,2020-05-18,Kentucky,KY,21,58267,40.0,05/18/2020
884,2020-05-18,Maine,ME,23,13527,39.28571429,05/18/2020
2091,2020-05-18,Wyoming,WY,56,5661,40.14285714,05/18/2020
1837,2020-05-18,Utah,UT,49,56332,43.42857143,05/18/2020
339,2020-05-18,Delaware,DE,10,59610,41.14285714,05/18/2020
11,2020-05-18,Alaska,AK,2,2846,31.0,05/18/2020
1714,2020-05-18,South Dakota,SD,46,30485,37.28571429,05/18/2020
467,2020-05-18,Hawaii,HI,15,4499,31.42857143,05/18/2020
298,2020-05-18,District of Columbia,DC,11,54823,38.57142857,05/18/2020
52,2020-05-18,Alabama,AL,1,94797,47.0,05/18/2020
1755,2020-05-18,Tennessee,TN,47,135806,43.14285714,05/18/2020
1673,2020-05-18,South Carolina,SC,45,67094,45.42857143,05/18/2020
175,2020-05-18,California,CA,6,618392,45.14285714,05/18/2020
1008,2020-05-18,Missouri,MO,29,81117,34.57142857,05/18/2020
1796,2020-05-18,Texas,TX,48,372780,45.57142857,05/18/2020
257,2020-05-18,Connecticut,CT,9,277658,43.85714286,05/18/2020
1302,2020-05-18,New Jersey,NJ,34,1065953,41.28571429,05/18/2020
549,2020-05-18,Idaho,ID,16,17818,36.71428571,05/18/2020
134,2020-05-18,Arizona,AZ,4,109325,49.57142857,05/18/2020
1920,2020-05-18,Vermont,VT,50,6665,40.14285714,05/18/2020
426,2020-05-18,Georgia,GA,13,288305,50.85714286,05/18/2020
967,2020-05-18,Minnesota,MN,27,153817,37.28571429,05/18/2020
1508,2020-05-18,Oklahoma,OK,40,40637,33.14285714,05/18/2020
93,2020-05-18,Arkansas,AR,5,38559,31.28571429,05/18/2020
1343,2020-05-18,New Mexico,NM,35,46370,46.0,05/18/2020
755,2020-05-18,Louisiana,LA,22,255801,32.14285714,05/18/2020
2049,2020-05-18,West Virginia,WV,54,11513,31.71428571,05/18/2020
590,2020-05-18,Illinois,IL,17,736695,52.85714286,05/18/2020
802,2020-05-18,Massachusetts,MA,25,635476,40.57142857,05/18/2020
1590,2020-05-18,Pennsylvania,PA,42,461864,41.28571429,05/18/2020
1090,2020-05-18,Montana,MT,30,3344,39.14285714,05/18/2020
1467,2020-05-18,Ohio,OH,39,215145,36.0,05/18/2020
1632,2020-05-18,Rhode Island,RI,44,97077,41.14285714,05/18/2020
1879,2020-05-18,Virginia,VA,51,243860,37.28571429,05/18/2020
2008,2020-05-18,Wisconsin,WI,55,113760,43.85714286,05/18/2020
1549,2020-05-18,Oregon,OR,41,26972,46.85714286,05/18/2020
1257,2020-05-18,New Hampshire,NH,33,27503,39.14285714,05/18/2020
673,2020-05-18,Kansas,KS,20,61510,25.71428571,05/18/2020
926,2020-05-18,Michigan,MI,26,425794,47.28571429,05/18/2020
1049,2020-05-18,Mississippi,MS,28,88232,47.42857143,05/18/2020
258,2020-05-25,Connecticut,CT,9,292878,43.57142857,05/25/2020
844,2020-05-25,Maryland,MD,24,354927,32.14285714,05/25/2020
756,2020-05-25,Louisiana,LA,22,273989,45.0,05/25/2020
803,2020-05-25,Massachusetts,MA,25,672391,38.0,05/25/2020
1509,2020-05-25,Oklahoma,OK,40,44471,51.85714286,05/25/2020
674,2020-05-25,Kansas,KS,20,67060,41.42857143,05/25/2020
1550,2020-05-25,Oregon,OR,41,28952,33.42857143,05/25/2020
1880,2020-05-25,Virginia,VA,51,297141,38.14285714,05/25/2020
340,2020-05-25,Delaware,DE,10,65094,39.57142857,05/25/2020
1468,2020-05-25,Ohio,OH,39,241457,42.28571429,05/25/2020
715,2020-05-25,Kentucky,KY,21,65123,52.14285714,05/25/2020
1921,2020-05-25,Vermont,VT,50,6830,42.42857143,05/25/2020
468,2020-05-25,Hawaii,HI,15,4529,37.42857143,05/25/2020
1674,2020-05-25,South Carolina,SC,45,78361,45.71428571,05/25/2020
1050,2020-05-25,Mississippi,MS,28,103419,55.0,05/25/2020
591,2020-05-25,Illinois,IL,17,821200,56.28571429,05/25/2020
1173,2020-05-25,North Dakota,ND,38,17609,33.0,05/25/2020
2009,2020-05-25,Wisconsin,WI,55,136982,46.71428571,05/25/2020
968,2020-05-25,Minnesota,MN,27,180268,41.71428571,05/25/2020
509,2020-05-25,Iowa,IA,19,132055,32.85714286,05/25/2020
135,2020-05-25,Arizona,AZ,4,129587,58.57142857,05/25/2020
1797,2020-05-25,Texas,TX,48,426768,61.57142857,05/25/2020
1756,2020-05-25,Tennessee,TN,47,155161,54.42857143,05/25/2020
1591,2020-05-25,Pennsylvania,PA,42,496910,41.57142857,05/25/2020
1091,2020-05-25,Montana,MT,30,3477,23.14285714,05/25/2020
53,2020-05-25,Alabama,AL,1,117997,51.71428571,05/25/2020
1303,2020-05-25,New Jersey,NJ,34,1110022,35.42857143,05/25/2020
1258,2020-05-25,New Hampshire,NH,33,30788,42.85714286,05/25/2020
550,2020-05-25,Idaho,ID,16,19306,32.0,05/25/2020
427,2020-05-25,Georgia,GA,13,319781,48.28571429,05/25/2020
94,2020-05-25,Arkansas,AR,5,47242,46.0,05/25/2020
2050,2020-05-25,West Virginia,WV,54,13579,44.71428571,05/25/2020
1009,2020-05-25,Missouri,MO,29,89687,47.0,05/25/2020
1344,2020-05-25,New Mexico,NM,35,52352,49.57142857,05/25/2020
1217,2020-05-25,Nebraska,NE,31,92871,37.85714286,05/25/2020
299,2020-05-25,District of Columbia,DC,11,60145,37.57142857,05/25/2020
1427,2020-05-25,New York,NY,36,2575959,14.0,05/25/2020
12,2020-05-25,Alaska,AK,2,3054,32.57142857,05/25/2020
217,2020-05-25,Colorado,CO,8,179119,43.42857143,05/25/2020
1968,2020-05-25,Washington,WA,53,157478,35.42857143,05/25/2020
633,2020-05-25,Indiana,IN,18,234756,60.14285714,05/25/2020
885,2020-05-25,Maine,ME,23,15617,40.71428571,05/25/2020
1715,2020-05-25,South Dakota,SD,46,34009,28.85714286,05/25/2020
1385,2020-05-25,Nevada,NV,32,58444,46.14285714,05/25/2020
1132,2020-05-25,North Carolina,NC,37,186193,50.57142857,05/25/2020
386,2020-05-25,Florida,FL,12,369546,55.0,05/25/2020
176,2020-05-25,California,CA,6,731763,48.0,05/25/2020
1633,2020-05-25,Rhode Island,RI,44,103288,37.85714286,05/25/2020
927,2020-05-25,Michigan,MI,26,441151,42.71428571,05/25/2020
2092,2020-05-25,Wyoming,WY,56,6188,39.85714286,05/25/2020
1838,2020-05-25,Utah,UT,49,64840,43.57142857,05/25/2020
1092,2020-06-01,Montana,MT,30,3761,21.28571429,06/01/2020
1881,2020-06-01,Virginia,VA,51,340861,42.57142857,06/01/2020
1133,2020-06-01,North Carolina,NC,37,232542,41.14285714,06/01/2020
1218,2020-06-01,Nebraska,NE,31,105495,43.14285714,06/01/2020
1510,2020-06-01,Oklahoma,OK,40,48669,45.28571429,06/01/2020
2093,2020-06-01,Wyoming,WY,56,6527,40.28571429,06/01/2020
54,2020-06-01,Alabama,AL,1,137420,53.42857143,06/01/2020
13,2020-06-01,Alaska,AK,2,3702,24.42857143,06/01/2020
1259,2020-06-01,New Hampshire,NH,33,34186,38.42857143,06/01/2020
1051,2020-06-01,Mississippi,MS,28,117468,60.14285714,06/01/2020
1428,2020-06-01,New York,NY,36,2632678,19.14285714,06/01/2020
2051,2020-06-01,West Virginia,WV,54,14751,44.42857143,06/01/2020
845,2020-06-01,Maryland,MD,24,395644,33.85714286,06/01/2020
1969,2020-06-01,Washington,WA,53,172657,30.42857143,06/01/2020
218,2020-06-01,Colorado,CO,8,192855,39.42857143,06/01/2020
886,2020-06-01,Maine,ME,23,17405,38.0,06/01/2020
1386,2020-06-01,Nevada,NV,32,65012,46.0,06/01/2020
177,2020-06-01,California,CA,6,861852,53.57142857,06/01/2020
928,2020-06-01,Michigan,MI,26,452909,42.85714286,06/01/2020
1345,2020-06-01,New Mexico,NM,35,59991,48.28571429,06/01/2020
757,2020-06-01,Louisiana,LA,22,293782,58.42857143,06/01/2020
1469,2020-06-01,Ohio,OH,39,263606,41.42857143,06/01/2020
1922,2020-06-01,Vermont,VT,50,7206,38.42857143,06/01/2020
969,2020-06-01,Minnesota,MN,27,199520,39.85714286,06/01/2020
136,2020-06-01,Arizona,AZ,4,170586,57.57142857,06/01/2020
2010,2020-06-01,Wisconsin,WI,55,157191,35.57142857,06/01/2020
1010,2020-06-01,Missouri,MO,29,99381,39.71428571,06/01/2020
1304,2020-06-01,New Jersey,NJ,34,1142033,41.14285714,06/01/2020
259,2020-06-01,Connecticut,CT,9,304647,42.85714286,06/01/2020
95,2020-06-01,Arkansas,AR,5,60495,48.85714286,06/01/2020
804,2020-06-01,Massachusetts,MA,25,717569,41.57142857,06/01/2020
300,2020-06-01,District of Columbia,DC,11,64211,39.57142857,06/01/2020
1174,2020-06-01,North Dakota,ND,38,19323,37.71428571,06/01/2020
1675,2020-06-01,South Carolina,SC,45,94526,48.57142857,06/01/2020
341,2020-06-01,Delaware,DE,10,68675,40.0,06/01/2020
428,2020-06-01,Georgia,GA,13,353273,51.71428571,06/01/2020
551,2020-06-01,Idaho,ID,16,21272,31.42857143,06/01/2020
634,2020-06-01,Indiana,IN,18,255640,44.14285714,06/01/2020
510,2020-06-01,Iowa,IA,19,147160,37.14285714,06/01/2020
1798,2020-06-01,Texas,TX,48,500519,53.28571429,06/01/2020
675,2020-06-01,Kansas,KS,20,72180,36.0,06/01/2020
1757,2020-06-01,Tennessee,TN,47,179233,55.85714286,06/01/2020
1716,2020-06-01,South Dakota,SD,46,37029,29.14285714,06/01/2020
1592,2020-06-01,Pennsylvania,PA,42,525578,39.28571429,06/01/2020
716,2020-06-01,Kentucky,KY,21,76327,17.5,06/01/2020
1551,2020-06-01,Oregon,OR,41,32170,26.42857143,06/01/2020
469,2020-06-01,Hawaii,HI,15,4625,33.28571429,06/01/2020
1634,2020-06-01,Rhode Island,RI,44,108340,42.57142857,06/01/2020
1839,2020-06-01,Utah,UT,49,78950,44.57142857,06/01/2020
387,2020-06-01,Florida,FL,12,415884,48.28571429,06/01/2020
592,2020-06-01,Illinois,IL,17,881138,47.14285714,06/01/2020
1552,2020-06-08,Oregon,OR,41,37653,21.14285714,06/08/2020
1676,2020-06-08,South Carolina,SC,45,120726,46.0,06/08/2020
676,2020-06-08,Kansas,KS,20,76834,50.71428571,06/08/2020
429,2020-06-08,Georgia,GA,13,390881,50.71428571,06/08/2020
1635,2020-06-08,Rhode Island,RI,44,111927,43.14285714,06/08/2020
96,2020-06-08,Arkansas,AR,5,79776,45.42857143,06/08/2020
805,2020-06-08,Massachusetts,MA,25,734459,41.14285714,06/08/2020
552,2020-06-08,Idaho,ID,16,23122,39.28571429,06/08/2020
1470,2020-06-08,Ohio,OH,39,282737,39.14285714,06/08/2020
1840,2020-06-08,Utah,UT,49,95154,45.14285714,06/08/2020
929,2020-06-08,Michigan,MI,26,459445,46.14285714,06/08/2020
1799,2020-06-08,Texas,TX,48,585246,57.57142857,06/08/2020
1305,2020-06-08,New Jersey,NJ,34,1162711,36.57142857,06/08/2020
887,2020-06-08,Maine,ME,23,18991,41.0,06/08/2020
2011,2020-06-08,Wisconsin,WI,55,173015,49.28571429,06/08/2020
260,2020-06-08,Connecticut,CT,9,312993,47.14285714,06/08/2020
1346,2020-06-08,New Mexico,NM,35,66437,50.71428571,06/08/2020
593,2020-06-08,Illinois,IL,17,923896,50.28571429,06/08/2020
1387,2020-06-08,Nevada,NV,32,74667,43.57142857,06/08/2020
970,2020-06-08,Minnesota,MN,27,212575,40.28571429,06/08/2020
137,2020-06-08,Arizona,AZ,4,229184,53.14285714,06/08/2020
1011,2020-06-08,Missouri,MO,29,108884,44.28571429,06/08/2020
219,2020-06-08,Colorado,CO,8,201761,44.42857143,06/08/2020
2052,2020-06-08,West Virginia,WV,54,15648,41.71428571,06/08/2020
1052,2020-06-08,Mississippi,MS,28,132488,52.57142857,06/08/2020
301,2020-06-08,District of Columbia,DC,11,67529,44.28571429,06/08/2020
470,2020-06-08,Hawaii,HI,15,4892,37.28571429,06/08/2020
846,2020-06-08,Maryland,MD,24,424217,40.57142857,06/08/2020
14,2020-06-08,Alaska,AK,2,4411,30.14285714,06/08/2020
1175,2020-06-08,North Dakota,ND,38,21066,36.71428571,06/08/2020
1429,2020-06-08,New York,NY,36,2672142,16.14285714,06/08/2020
1134,2020-06-08,North Carolina,NC,37,287958,45.71428571,06/08/2020
2094,2020-06-08,Wyoming,WY,56,7175,42.14285714,06/08/2020
1593,2020-06-08,Pennsylvania,PA,42,546835,44.28571429,06/08/2020
1717,2020-06-08,South Dakota,SD,46,40193,29.14285714,06/08/2020
1511,2020-06-08,Oklahoma,OK,40,55038,53.28571429,06/08/2020
1758,2020-06-08,Tennessee,TN,47,204433,44.42857143,06/08/2020
388,2020-06-08,Florida,FL,12,484683,42.85714286,06/08/2020
717,2020-06-08,Kentucky,KY,21,85018,52.42857143,06/08/2020
