,date,Name,state,FIPS,positive,AQI,date_str
1333,2020-03-09,New Mexico,NM,35,81,48.57142857,03/09/2020
124,2020-03-09,Arizona,AZ,4,75,61.28571429,03/09/2020
2081,2020-03-09,Wyoming,WY,56,10,40.85714286,03/09/2020
1457,2020-03-09,Ohio,OH,39,124,23.71428571,03/09/2020
1206,2020-03-09,Nebraska,NE,31,80,36.0,03/09/2020
663,2020-03-09,Kansas,KS,20,37,29.14285714,03/09/2020
622,2020-03-09,Indiana,IN,18,98,47.85714286,03/09/2020
1162,2020-03-09,North Dakota,ND,38,5,34.28571429,03/09/2020
1704,2020-03-09,South Dakota,SD,46,50,25.0,03/09/2020
1957,2020-03-09,Washington,WA,53,6967,40.0,03/09/2020
833,2020-03-09,Maryland,MD,24,138,17.85714286,03/09/2020
498,2020-03-09,Iowa,IA,19,108,27.85714286,03/09/2020
206,2020-03-09,Colorado,CO,8,668,50.0,03/09/2020
247,2020-03-09,Connecticut,CT,9,74,33.0,03/09/2020
1827,2020-03-09,Utah,UT,49,87,38.57142857,03/09/2020
329,2020-03-09,Delaware,DE,10,29,36.28571429,03/09/2020
1498,2020-03-09,Oklahoma,OK,40,33,39.85714286,03/09/2020
1039,2020-03-09,Mississippi,MS,28,33,44.28571429,03/09/2020
165,2020-03-09,California,CA,6,1574,65.57142857,03/09/2020
375,2020-03-09,Florida,FL,12,359,40.42857143,03/09/2020
83,2020-03-09,Arkansas,AR,5,65,36.42857143,03/09/2020
704,2020-03-09,Kentucky,KY,21,84,34.85714286,03/09/2020
1998,2020-03-09,Wisconsin,WI,55,153,37.57142857,03/09/2020
457,2020-03-09,Hawaii,HI,15,19,34.28571429,03/09/2020
1539,2020-03-09,Oregon,OR,41,188,31.0,03/09/2020
1247,2020-03-09,New Hampshire,NH,33,53,32.57142857,03/09/2020
42,2020-03-09,Alabama,AL,1,47,56.85714286,03/09/2020
1580,2020-03-09,Pennsylvania,PA,42,277,37.14285714,03/09/2020
1622,2020-03-09,Rhode Island,RI,44,103,43.28571429,03/09/2020
1121,2020-03-09,North Carolina,NC,37,129,31.71428571,03/09/2020
1745,2020-03-09,Tennessee,TN,47,181,39.14285714,03/09/2020
1786,2020-03-09,Texas,TX,48,260,46.57142857,03/09/2020
1292,2020-03-09,New Jersey,NJ,34,445,40.14285714,03/09/2020
745,2020-03-09,Louisiana,LA,22,313,33.28571429,03/09/2020
