State Name,State Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
AL,1,4/10/20,46,Good,Ozone,01-073-0023,9
AL,1,4/11/20,58,Moderate,Ozone,01-073-0023,9
AL,1,4/12/20,59,Moderate,PM2.5,01-073-0023,9
AL,1,4/13/20,48,Good,PM2.5,01-073-6004,9
AL,1,4/14/20,44,Good,Ozone,01-073-0023,9
AL,1,4/15/20,50,Good,Ozone,01-073-0023,9
AL,1,4/16/20,59,Moderate,PM2.5,01-073-0023,9
AL,1,4/17/20,52,Moderate,PM2.5,01-073-0023,9
AL,1,4/18/20,38,Good,Ozone,01-073-0023,9
AL,1,4/19/20,32,Good,PM2.5,01-073-2003,9
AL,1,4/20/20,47,Good,Ozone,01-073-0023,9
AL,1,4/21/20,54,Moderate,PM2.5,01-073-6004,9
AL,1,4/22/20,44,Good,PM2.5,01-073-0023,9
AL,1,4/23/20,43,Good,PM2.5,01-073-6004,9
AL,1,4/24/20,39,Good,Ozone,01-073-0023,9
AL,1,4/25/20,61,Moderate,PM2.5,01-073-6004,9
AL,1,4/26/20,55,Moderate,PM2.5,01-073-6004,9
AL,1,4/27/20,47,Good,Ozone,01-073-0023,9
AL,1,4/28/20,54,Moderate,PM2.5,01-073-0023,9
AL,1,4/29/20,46,Good,PM2.5,01-073-6004,9
AL,1,4/30/20,76,Moderate,PM2.5,01-073-6004,9
AL,1,5/1/20,53,Moderate,PM2.5,01-073-6004,9
AL,1,5/2/20,61,Moderate,Ozone,01-073-5003,9
AL,1,5/3/20,58,Moderate,Ozone,01-073-6002,9
AL,1,5/4/20,47,Good,PM2.5,01-073-2003,8
AL,1,5/5/20,53,Moderate,PM2.5,01-073-6004,8
AL,1,5/6/20,52,Moderate,PM2.5,01-073-6004,8
AL,1,5/7/20,46,Good,Ozone,01-073-1005,8
AL,1,5/8/20,50,Good,PM2.5,01-073-1005,8
AL,1,5/9/20,44,Good,Ozone,01-073-5003,9
AL,1,5/10/20,58,Moderate,PM2.5,01-073-6004,8
AL,1,5/11/20,44,Good,Ozone,01-073-5003,8
AL,1,5/12/20,54,Moderate,Ozone,01-073-5003,8
AL,1,5/13/20,58,Moderate,Ozone,01-073-6002,8
AL,1,5/14/20,51,Moderate,Ozone,01-073-1005,8
AL,1,5/15/20,46,Good,Ozone,01-073-5003,9
AL,1,5/16/20,49,Good,PM2.5,01-073-0023,8
AL,1,5/17/20,37,Good,PM2.5,01-073-2003,8
AL,1,5/18/20,39,Good,Ozone,01-073-1005,8
AL,1,5/19/20,36,Good,Ozone,01-073-1010,9
AL,1,5/20/20,43,Good,Ozone,01-073-1005,9
AL,1,5/21/20,44,Good,Ozone,01-073-5003,9
AL,1,5/22/20,45,Good,PM2.5,01-073-6004,9
AL,1,5/23/20,53,Moderate,PM2.5,01-073-6004,9
AL,1,5/24/20,46,Good,Ozone,01-073-6002,9
AL,1,5/25/20,36,Good,Ozone,01-073-2003,9
AL,1,5/26/20,30,Good,Ozone,01-073-1010,9
AL,1,5/27/20,43,Good,Ozone,01-073-5003,9
AL,1,5/28/20,43,Good,Ozone,01-073-6002,9
AL,1,5/29/20,74,Moderate,Ozone,01-073-1010,9
AL,1,5/30/20,47,Good,Ozone,01-073-5003,9
AL,1,5/31/20,46,Good,Ozone,01-073-1010,9
AL,1,6/1/20,49,Good,Ozone,01-073-5003,9
AL,1,6/2/20,54,Moderate,PM2.5,01-073-2003,9
AL,1,6/3/20,59,Moderate,PM2.5,01-073-6004,9
AL,1,6/4/20,44,Good,Ozone,01-073-6002,9
AL,1,6/5/20,49,Good,PM2.5,01-073-6004,9
AL,1,6/6/20,41,Good,Ozone,01-073-6002,9
AL,1,6/7/20,26,Good,Ozone,01-073-5003,9
AL,1,6/8/20,43,Good,PM2.5,01-073-6004,9
AL,1,6/9/20,38,Good,PM2.5,01-073-2003,9
AL,1,6/10/20,43,Good,PM2.5,01-073-2003,9
AL,1,6/11/20,45,Good,Ozone,01-073-0023,9
AL,1,6/12/20,50,Good,Ozone,01-073-5003,9
AL,1,6/13/20,67,Moderate,Ozone,01-073-1003,9
AL,1,6/14/20,71,Moderate,Ozone,01-073-6002,9
AL,1,6/15/20,67,Moderate,Ozone,01-073-0023,8
AL,1,6/16/20,48,Good,Ozone,01-073-1003,9
AL,1,6/17/20,44,Good,Ozone,01-073-0023,9
AL,1,6/18/20,61,Moderate,Ozone,01-073-1005,9
AL,1,6/19/20,105,Unhealthy for Sensitive Groups,Ozone,01-073-6002,9
AL,1,6/20/20,62,Moderate,PM2.5,01-073-0023,9
AL,1,6/21/20,54,Moderate,PM2.5,01-073-6004,9
AL,1,6/22/20,37,Good,Ozone,01-073-6002,9
AL,1,6/23/20,36,Good,Ozone,01-073-1005,9
AL,1,6/24/20,30,Good,PM2.5,01-073-2003,8
AL,1,6/25/20,49,Good,PM2.5,01-073-6004,8
AL,1,6/26/20,121,Unhealthy for Sensitive Groups,PM2.5,01-073-2003,9
AL,1,6/27/20,95,Moderate,PM2.5,01-073-2003,9
AL,1,6/28/20,50,Good,PM2.5,01-073-2003,9
AL,1,6/29/20,42,Good,PM2.5,01-073-6004,9
AL,1,6/30/20,55,Moderate,PM2.5,01-073-6004,9
AL,1,7/1/20,38,Good,PM2.5,01-073-6004,9
AL,1,7/2/20,40,Good,PM2.5,01-073-1010,9
AL,1,7/3/20,61,Moderate,Ozone,01-073-1005,9
AL,1,7/4/20,66,Moderate,PM2.5,01-073-2003,9
AL,1,7/5/20,70,Moderate,PM2.5,01-073-2003,9
AL,1,7/6/20,45,Good,PM2.5,01-073-2003,9
AL,1,7/7/20,39,Good,Ozone,01-073-1003,8
AL,1,7/8/20,48,Good,PM2.5,01-073-6004,9
AL,1,7/9/20,56,Moderate,PM2.5,01-073-6004,9
AL,1,7/10/20,64,Moderate,PM2.5,01-073-6004,9
AL,1,7/11/20,44,Good,Ozone,01-073-5003,9
AL,1,7/12/20,42,Good,PM2.5,01-073-0023,9
AL,1,7/13/20,44,Good,Ozone,01-073-0023,9
AL,1,7/14/20,74,Moderate,Ozone,01-073-6002,9
AL,1,7/15/20,80,Moderate,Ozone,01-073-6002,9
AL,1,7/16/20,64,Moderate,Ozone,01-073-1003,9
AL,1,7/17/20,61,Moderate,Ozone,01-073-1003,9
AL,1,7/18/20,59,Moderate,PM2.5,01-073-0023,9
AL,1,7/19/20,57,Moderate,PM2.5,01-073-1010,9
AL,1,7/20/20,61,Moderate,Ozone,01-073-1010,9
AL,1,7/21/20,56,Moderate,PM2.5,01-073-1005,9
AL,1,7/22/20,45,Good,PM2.5,01-073-1005,9
AL,1,7/23/20,34,Good,Ozone,01-073-5003,9
AL,1,7/24/20,33,Good,Ozone,01-073-5003,9
AL,1,7/25/20,33,Good,Ozone,01-073-2003,9
AL,1,7/26/20,40,Good,Ozone,01-073-0023,9
AL,1,7/27/20,41,Good,Ozone,01-073-0023,9
AL,1,7/28/20,35,Good,Ozone,01-073-6002,9
AL,1,7/29/20,32,Good,PM2.5,01-073-1010,9
AL,1,7/30/20,56,Moderate,PM2.5,01-073-2003,9
AL,1,7/31/20,59,Moderate,PM2.5,01-073-2003,9
AL,1,8/1/20,46,Good,PM2.5,01-073-2003,9
