State Name,Date,concat,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,COVID,,,state,date,concat,positive
AL,2/21/20,AL.2/21/20,50,Good,PM2.5,01-073-1010,9,not in list,,,IA,3/2/20,IA.43864,3
AL,2/22/20,AL.2/22/20,45,Good,PM2.5,01-073-0023,8,not in list,,,ID,3/2/20,ID.43864,0
AL,2/23/20,AL.2/23/20,64,Moderate,PM2.5,01-073-2003,8,not in list,,,IL,3/2/20,IL.43864,33
AL,2/24/20,AL.2/24/20,51,Moderate,PM2.5,01-073-0023,8,not in list,,,IN,3/2/20,IN.43864,6
AL,2/25/20,AL.2/25/20,51,Moderate,PM2.5,01-073-6004,8,not in list,,,KS,3/2/20,KS.43864,2
AL,2/26/20,AL.2/26/20,37,Good,PM2.5,01-073-6004,8,not in list,,,KY,3/2/20,KY.43864,6
AL,2/27/20,AL.2/27/20,39,Good,Ozone,01-073-0023,9,not in list,,,LA,3/2/20,LA.43864,1
AL,2/28/20,AL.2/28/20,55,Moderate,PM2.5,01-073-6004,8,not in list,,,NY,3/2/20,NY.43864,214
AL,2/29/20,AL.2/29/20,44,Good,Ozone,01-073-0023,8,not in list,,,MA,3/2/20,MA.43864,0
AL,3/1/20,AL.43833,62,Moderate,PM2.5,01-073-2003,8,not in list,,,MD,3/2/20,MD.43864,14
AL,3/2/20,AL.43864,44,Good,Ozone,01-073-1003,8,0,,,ME,3/2/20,ME.43864,0
AL,3/3/20,AL.43893,69,Moderate,PM2.5,01-073-6004,8,not in list,,,MN,3/2/20,MN.43864,10
AL,3/4/20,AL.43924,43,Good,PM2.5,01-073-2059,9,not in list,,,OH,3/2/20,OH.43864,3
AL,3/5/20,AL.43954,38,Good,Ozone,01-073-5003,8,not in list,,,CA,3/2/20,CA.43864,437
AL,3/6/20,AL.43985,43,Good,PM2.5,01-073-6004,8,not in list,,,OR,3/2/20,OR.43864,44
AL,3/7/20,AL.44015,41,Good,Ozone,01-073-0023,8,not in list,,,WY,3/2/20,WY.43864,0
AL,3/8/20,AL.44046,45,Good,PM2.5,01-073-0023,8,not in list,,,TX,3/2/20,TX.43864,35
AL,3/9/20,AL.44077,54,Moderate,PM2.5,01-073-2003,8,47,,,WV,3/2/20,WV.43864,0
AL,3/10/20,AL.44107,35,Good,Ozone,01-073-0023,9,not in list,,,UT,3/2/20,UT.43864,3
AL,3/11/20,AL.44138,35,Good,PM2.5,01-073-2003,8,not in list,,,SC,3/2/20,SC.43864,11
AL,3/12/20,AL.44168,42,Good,PM2.5,01-073-2003,8,not in list,,,PA,3/2/20,PA.43864,22
AL,3/13/20,AL.3/13/20,42,Good,PM2.5,01-073-2003,8,not in list,,,VA,3/2/20,VA.43864,5
AL,3/14/20,AL.3/14/20,48,Good,PM2.5,01-073-6004,8,not in list,,,TN,3/2/20,TN.43864,9
AL,3/15/20,AL.3/15/20,24,Good,PM2.5,01-073-1005,8,not in list,,,RI,3/2/20,RI.43864,20
AL,3/16/20,AL.3/16/20,44,Good,PM2.5,01-073-0023,9,660,,,WA,3/2/20,WA.43864,1566
AL,3/17/20,AL.3/17/20,75,Moderate,PM2.5,01-073-0023,8,not in list,,,SD,3/2/20,SD.43864,0
AL,3/18/20,AL.3/18/20,58,Moderate,PM2.5,01-073-0023,8,not in list,,,OK,3/2/20,OK.43864,3
AL,3/19/20,AL.3/19/20,43,Good,PM2.5,01-073-2003,8,not in list,,,VT,3/2/20,VT.43864,2
AL,3/20/20,AL.3/20/20,40,Good,PM2.5,01-073-2003,8,not in list,,,AL,3/2/20,AL.43864,0
AL,3/21/20,AL.3/21/20,28,Good,PM2.5,01-073-0023,8,not in list,,,WI,3/2/20,WI.43864,6
AL,3/22/20,AL.3/22/20,34,Good,PM2.5,01-073-2003,9,not in list,,,FL,3/9/20,FL.44077,359
AL,3/23/20,AL.3/23/20,51,Moderate,PM2.5,01-073-6004,8,3952,,,ME,3/9/20,ME.44077,27
AL,3/24/20,AL.3/24/20,46,Good,PM2.5,01-073-2003,8,not in list,,,AS,3/9/20,AS.44077,0
AL,3/25/20,AL.3/25/20,40,Good,Ozone,01-073-0023,8,not in list,,,SD,3/9/20,SD.44077,50
AL,3/26/20,AL.3/26/20,49,Good,Ozone,01-073-2003,9,not in list,,,MI,3/9/20,MI.44077,10424
AL,3/27/20,AL.3/27/20,67,Moderate,PM2.5,01-073-2003,9,not in list,,,AZ,3/9/20,AZ.44077,75
AL,3/28/20,AL.3/28/20,59,Moderate,PM2.5,01-073-2003,9,not in list,,,MD,3/9/20,MD.44077,138
AL,3/29/20,AL.3/29/20,55,Moderate,PM2.5,01-073-6004,9,not in list,,,TN,3/9/20,TN.44077,181
AL,3/30/20,AL.3/30/20,46,Good,Ozone,01-073-6004,9,10067,,,WI,3/9/20,WI.44077,153
AL,3/31/20,AL.3/31/20,37,Good,Ozone,01-073-5003,9,not in list,,,AL,3/9/20,AL.44077,47
AL,4/1/20,AL.43834,46,Good,Ozone,01-073-0023,9,not in list,,,TX,3/9/20,TX.44077,260
AL,4/2/20,AL.43865,44,Good,Ozone,01-073-1005,9,not in list,,,OH,3/9/20,OH.44077,124
AL,4/3/20,AL.43894,60,Moderate,PM2.5,01-073-2059,9,not in list,,,UT,3/9/20,UT.44077,87
AL,4/4/20,AL.43925,55,Moderate,PM2.5,01-073-1005,9,not in list,,,WA,3/9/20,WA.44077,6967
AL,4/5/20,AL.43955,58,Moderate,Ozone,01-073-0023,9,not in list,,,GA,3/9/20,GA.44077,398
AL,4/6/20,AL.43986,74,Moderate,Ozone,01-073-0023,9,20675,,,LA,3/9/20,LA.44077,313
AL,4/7/20,AL.44016,60,Moderate,PM2.5,01-073-2003,9,not in list,,,KY,3/9/20,KY.44077,84
AL,4/8/20,AL.44047,56,Moderate,PM2.5,01-073-6004,9,not in list,,,VA,3/9/20,VA.44077,190
AL,4/9/20,AL.44078,44,Good,Ozone,01-073-0023,9,not in list,,,GU,3/9/20,GU.44077,3
AL,4/10/20,AL.44108,46,Good,Ozone,01-073-0023,9,not in list,,,KS,3/9/20,KS.44077,37
AL,4/11/20,AL.44139,58,Moderate,Ozone,01-073-0023,9,not in list,,,IN,3/9/20,IN.44077,98
AL,4/12/20,AL.44169,59,Moderate,PM2.5,01-073-0023,9,not in list,,,VI,3/9/20,VI.44077,1
AL,4/13/20,AL.4/13/20,48,Good,PM2.5,01-073-6004,9,31381,,,HI,3/9/20,HI.44077,19
AL,4/14/20,AL.4/14/20,44,Good,Ozone,01-073-0023,9,not in list,,,IL,3/9/20,IL.44077,298
AL,4/15/20,AL.4/15/20,50,Good,Ozone,01-073-0023,9,not in list,,,ID,3/9/20,ID.44077,12
AL,4/16/20,AL.4/16/20,59,Moderate,PM2.5,01-073-0023,9,not in list,,,MA,3/9/20,MA.44077,230
AL,4/17/20,AL.4/17/20,52,Moderate,PM2.5,01-073-0023,9,not in list,,,MN,3/9/20,MN.44077,534
AL,4/18/20,AL.4/18/20,38,Good,Ozone,01-073-0023,9,not in list,,,IA,3/9/20,IA.44077,108
AL,4/19/20,AL.4/19/20,32,Good,PM2.5,01-073-2003,9,not in list,,,WY,3/9/20,WY.44077,10
AL,4/20/20,AL.4/20/20,47,Good,Ozone,01-073-0023,9,41212,,,NJ,3/9/20,NJ.44077,445
AL,4/21/20,AL.4/21/20,54,Moderate,PM2.5,01-073-6004,9,not in list,,,OR,3/9/20,OR.44077,188
AL,4/22/20,AL.4/22/20,44,Good,PM2.5,01-073-0023,9,not in list,,,OK,3/9/20,OK.44077,33
AL,4/23/20,AL.4/23/20,43,Good,PM2.5,01-073-6004,9,not in list,,,CT,3/9/20,CT.44077,74
AL,4/24/20,AL.4/24/20,39,Good,Ozone,01-073-0023,9,not in list,,,PA,3/9/20,PA.44077,277
AL,4/25/20,AL.4/25/20,61,Moderate,PM2.5,01-073-6004,9,not in list,,,NV,3/9/20,NV.44077,190
AL,4/26/20,AL.4/26/20,55,Moderate,PM2.5,01-073-6004,9,not in list,,,AR,3/9/20,AR.44077,65
AL,4/27/20,AL.4/27/20,47,Good,Ozone,01-073-0023,9,50890,,,VT,3/9/20,VT.44077,31
AL,4/28/20,AL.4/28/20,54,Moderate,PM2.5,01-073-0023,9,not in list,,,NH,3/9/20,NH.44077,53
AL,4/29/20,AL.4/29/20,46,Good,PM2.5,01-073-6004,9,not in list,,,PR,3/9/20,PR.44077,5
AL,4/30/20,AL.4/30/20,76,Moderate,PM2.5,01-073-6004,9,not in list,,,DC,3/9/20,DC.44077,73
AL,5/1/20,AL.43835,53,Moderate,PM2.5,01-073-6004,9,not in list,,,NE,3/9/20,NE.44077,80
AL,5/2/20,AL.43866,61,Moderate,Ozone,01-073-5003,9,not in list,,,CO,3/9/20,CO.44077,668
AL,5/3/20,AL.43895,58,Moderate,Ozone,01-073-6002,9,not in list,,,AK,3/9/20,AK.44077,0
AL,5/4/20,AL.43926,47,Good,PM2.5,01-073-2003,8,64338,,,CA,3/9/20,CA.44077,1574
AL,5/5/20,AL.43956,53,Moderate,PM2.5,01-073-6004,8,not in list,,,ND,3/9/20,ND.44077,5
AL,5/6/20,AL.43987,52,Moderate,PM2.5,01-073-6004,8,not in list,,,DE,3/9/20,DE.44077,29
AL,5/7/20,AL.44017,46,Good,Ozone,01-073-1005,8,not in list,,,NC,3/9/20,NC.44077,129
AL,5/8/20,AL.44048,50,Good,PM2.5,01-073-1005,8,not in list,,,SC,3/9/20,SC.44077,98
AL,5/9/20,AL.44079,44,Good,Ozone,01-073-5003,9,not in list,,,MT,3/9/20,MT.44077,21
AL,5/10/20,AL.44109,58,Moderate,PM2.5,01-073-6004,8,not in list,,,NY,3/9/20,NY.44077,3057
AL,5/11/20,AL.44140,44,Good,Ozone,01-073-5003,8,78491,,,MS,3/9/20,MS.44077,33
AL,5/12/20,AL.44170,54,Moderate,Ozone,01-073-5003,8,not in list,,,WV,3/9/20,WV.44077,0
AL,5/13/20,AL.5/13/20,58,Moderate,Ozone,01-073-6002,8,not in list,,,MP,3/9/20,MP.44077,0
AL,5/14/20,AL.5/14/20,51,Moderate,Ozone,01-073-1005,8,not in list,,,MO,3/9/20,MO.44077,20
AL,5/15/20,AL.5/15/20,46,Good,Ozone,01-073-5003,9,not in list,,,RI,3/9/20,RI.44077,103
AL,5/16/20,AL.5/16/20,49,Good,PM2.5,01-073-0023,8,not in list,,,NM,3/9/20,NM.44077,81
AL,5/17/20,AL.5/17/20,37,Good,PM2.5,01-073-2003,8,not in list,,,CA,3/16/20,CA.3/16/20,7629
AL,5/18/20,AL.5/18/20,39,Good,Ozone,01-073-1005,8,94797,,,HI,3/16/20,HI.3/16/20,207
AL,5/19/20,AL.5/19/20,36,Good,Ozone,01-073-1010,9,not in list,,,VT,3/16/20,VT.3/16/20,257
AL,5/20/20,AL.5/20/20,43,Good,Ozone,01-073-1005,9,not in list,,,WI,3/16/20,WI.3/16/20,1819
AL,5/21/20,AL.5/21/20,44,Good,Ozone,01-073-5003,9,not in list,,,CO,3/16/20,CO.3/16/20,2825
AL,5/22/20,AL.5/22/20,45,Good,PM2.5,01-073-6004,9,not in list,,,WY,3/16/20,WY.3/16/20,135
AL,5/23/20,AL.5/23/20,53,Moderate,PM2.5,01-073-6004,9,not in list,,,GA,3/16/20,GA.3/16/20,2929
AL,5/24/20,AL.5/24/20,46,Good,Ozone,01-073-6002,9,not in list,,,CT,3/16/20,CT.3/16/20,1231
AL,5/25/20,AL.5/25/20,36,Good,Ozone,01-073-2003,9,117997,,,FL,3/16/20,FL.3/16/20,3344
AL,5/26/20,AL.5/26/20,30,Good,Ozone,01-073-1010,9,not in list,,,DC,3/16/20,DC.3/16/20,454
AL,5/27/20,AL.5/27/20,43,Good,Ozone,01-073-5003,9,not in list,,,WA,3/16/20,WA.3/16/20,18950
AL,5/28/20,AL.5/28/20,43,Good,Ozone,01-073-6002,9,not in list,,,DE,3/16/20,DE.3/16/20,278
AL,5/29/20,AL.5/29/20,74,Moderate,Ozone,01-073-1010,9,not in list,,,WV,3/16/20,WV.3/16/20,49
AL,5/30/20,AL.5/30/20,47,Good,Ozone,01-073-5003,9,not in list,,,GU,3/16/20,GU.3/16/20,110
AL,5/31/20,AL.5/31/20,46,Good,Ozone,01-073-1010,9,not in list,,,NY,3/16/20,NY.3/16/20,61410
AL,6/1/20,AL.43836,49,Good,Ozone,01-073-5003,9,137420,,,TN,3/16/20,TN.3/16/20,2044
AL,6/2/20,AL.43867,54,Moderate,PM2.5,01-073-2003,9,not in list,,,ID,3/16/20,ID.3/16/20,170
AL,6/3/20,AL.43896,59,Moderate,PM2.5,01-073-6004,9,not in list,,,OH,3/16/20,OH.3/16/20,1483
AL,6/4/20,AL.43927,44,Good,Ozone,01-073-6002,9,not in list,,,NV,3/16/20,NV.3/16/20,829
AL,6/5/20,AL.43957,49,Good,PM2.5,01-073-6004,9,not in list,,,NM,3/16/20,NM.3/16/20,368
AL,6/6/20,AL.43988,41,Good,Ozone,01-073-6002,9,not in list,,,OK,3/16/20,OK.3/16/20,340
AL,6/7/20,AL.44018,26,Good,Ozone,01-073-5003,9,not in list,,,NJ,3/16/20,NJ.3/16/20,8411
AL,6/8/20,AL.44049,43,Good,PM2.5,01-073-6004,9,166454,,,OR,3/16/20,OR.3/16/20,790
AL,6/9/20,AL.44080,38,Good,PM2.5,01-073-2003,9,not in list,,,PA,3/16/20,PA.3/16/20,2176
AL,6/10/20,AL.44110,43,Good,PM2.5,01-073-2003,9,not in list,,,NH,3/16/20,NH.3/16/20,324
AL,6/11/20,AL.44141,45,Good,Ozone,01-073-0023,9,not in list,,,NE,3/16/20,NE.3/16/20,240
AL,6/12/20,AL.44171,50,Good,Ozone,01-073-5003,9,not in list,,,PR,3/16/20,PR.3/16/20,104
AL,6/13/20,AL.6/13/20,67,Moderate,Ozone,01-073-1003,9,not in list,,,RI,3/16/20,RI.3/16/20,542
AL,6/14/20,AL.6/14/20,71,Moderate,Ozone,01-073-6002,9,not in list,,,NC,3/16/20,NC.3/16/20,1073
AL,6/15/20,AL.6/15/20,67,Moderate,Ozone,01-073-0023,8,201456,,,MT,3/16/20,MT.3/16/20,131
AL,6/16/20,AL.6/16/20,48,Good,Ozone,01-073-1003,9,not in list,,,SC,3/16/20,SC.3/16/20,879
AL,6/17/20,AL.6/17/20,44,Good,Ozone,01-073-0023,9,not in list,,,MP,3/16/20,MP.3/16/20,0
AL,6/18/20,AL.6/18/20,61,Moderate,Ozone,01-073-1005,9,not in list,,,MO,3/16/20,MO.3/16/20,438
AL,6/19/20,AL.6/19/20,105,Unhealthy for Sensitive Groups,Ozone,01-073-6002,9,not in list,,,MN,3/16/20,MN.3/16/20,2174
AL,6/20/20,AL.6/20/20,62,Moderate,PM2.5,01-073-0023,9,not in list,,,IL,3/16/20,IL.3/16/20,4529
AL,6/21/20,AL.6/21/20,54,Moderate,PM2.5,01-073-6004,9,not in list,,,VI,3/16/20,VI.3/16/20,39
