State Name,Date,concat,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,COVID,,,state,date,concat,positive
CO,1/28/20,CO.1/28/20,50,Good,NO2,08-031-0028,5,not in list,,,SC,7/20/20,SC.7/20/20,547216
CO,1/29/20,CO.1/29/20,43,Good,NO2,08-031-0028,5,not in list,,,MN,7/20/20,MN.7/20/20,346874
CO,1/30/20,CO.1/30/20,60,Moderate,PM2.5,08-031-0028,5,not in list,,,CA,7/20/20,CA.7/20/20,3034904
CO,1/31/20,CO.1/31/20,55,Moderate,NO2,08-031-0028,5,not in list,,,DC,7/20/20,DC.7/20/20,81531
CO,2/1/20,CO.43832,53,Moderate,NO2,08-031-0028,5,not in list,,,VT,7/20/20,VT.7/20/20,9698
CO,2/2/20,CO.43863,44,Good,NO2,08-031-0027,5,not in list,,,CT,7/20/20,CT.7/20/20,339862
CO,2/3/20,CO.43892,25,Good,Ozone,08-031-0026,5,not in list,,,HI,7/20/20,HI.7/20/20,10588
CO,2/4/20,CO.43923,38,Good,NO2,08-031-0028,5,not in list,,,NH,7/20/20,NH.7/20/20,44411
CO,2/5/20,CO.43953,52,Moderate,PM2.5,08-031-0028,5,not in list,,,AZ,7/20/20,AZ.7/20/20,1094419
CO,2/6/20,CO.43984,57,Moderate,NO2,08-031-0028,5,not in list,,,AR,7/20/20,AR.7/20/20,258728
CO,2/7/20,CO.44014,40,Good,PM2.5,08-031-0028,5,not in list,,,OK,7/20/20,OK.7/20/20,204764
CO,2/8/20,CO.44045,85,Moderate,NO2,08-031-0002,5,not in list,,,DE,7/20/20,DE.7/20/20,98535
CO,2/9/20,CO.44076,42,Good,NO2,08-031-0028,5,not in list,,,SD,7/20/20,SD.7/20/20,57583
CO,2/10/20,CO.44106,47,Good,PM2.5,08-031-0028,5,not in list,,,NH,7/27/20,NH.7/27/20,45917
CO,2/11/20,CO.44137,66,Moderate,NO2,08-031-0028,5,not in list,,,CO,7/27/20,CO.7/27/20,327074
CO,2/12/20,CO.44167,72,Moderate,NO2,08-031-0028,5,not in list,,,ND,7/27/20,ND.7/27/20,45126
CO,2/13/20,CO.2/13/20,59,Moderate,PM2.5,08-031-0028,5,not in list,,,NY,7/27/20,NY.7/27/20,2904763
CO,2/14/20,CO.2/14/20,87,Moderate,PM2.5,08-031-0028,5,not in list,,,WY,7/27/20,WY.7/27/20,19054
CO,2/15/20,CO.2/15/20,46,Good,NO2,08-031-0027,5,not in list,,,OR,7/27/20,OR.7/27/20,129040
CO,2/16/20,CO.2/16/20,60,Moderate,PM2.5,08-031-0028,5,not in list,,,IL,7/27/20,IL.7/27/20,1259098
CO,2/17/20,CO.2/17/20,53,Moderate,PM2.5,08-031-0028,5,not in list,,,OH,7/27/20,OH.7/27/20,634256
CO,2/18/20,CO.2/18/20,43,Good,PM2.5,08-031-0028,5,not in list,,,WV,7/27/20,WV.7/27/20,46125
CO,2/19/20,CO.2/19/20,46,Good,PM2.5,08-031-0028,5,not in list,,,MO,7/27/20,MO.7/27/20,346715
CO,2/20/20,CO.2/20/20,65,Moderate,PM2.5,08-031-0028,5,not in list,,,SD,7/27/20,SD.7/27/20,61424
CO,2/21/20,CO.2/21/20,62,Moderate,NO2,08-031-0028,5,not in list,,,WA,7/27/20,WA.7/27/20,417774
CO,2/22/20,CO.2/22/20,60,Moderate,NO2,08-031-0002,5,not in list,,,HI,7/27/20,HI.7/27/20,13872
CO,2/23/20,CO.2/23/20,41,Good,NO2,08-031-0002,4,not in list,,,KS,7/27/20,KS.7/27/20,192224
CO,2/24/20,CO.2/24/20,48,Good,NO2,08-031-0028,5,not in list,,,CA,7/27/20,CA.7/27/20,3445138
CO,2/25/20,CO.2/25/20,30,Good,Ozone,08-031-0026,5,not in list,,,DE,7/27/20,DE.7/27/20,103436
CO,2/26/20,CO.2/26/20,43,Good,NO2,08-031-0028,5,not in list,,,PR,7/27/20,PR.7/27/20,43693
CO,2/27/20,CO.2/27/20,39,Good,NO2,08-031-0002,5,not in list,,,MA,7/27/20,MA.7/27/20,822731
CO,2/28/20,CO.2/28/20,49,Good,NO2,08-031-0028,5,not in list,,,RI,7/27/20,RI.7/27/20,132787
CO,2/29/20,CO.2/29/20,49,Good,NO2,08-031-0028,5,not in list,,,MD,7/27/20,MD.7/27/20,618115
CO,3/1/20,CO.43833,42,Good,NO2,08-031-0028,5,not in list,,,NJ,7/27/20,NJ.7/27/20,1270684
CO,3/2/20,CO.43864,51,Moderate,PM2.5,08-031-0028,5,41,,,MN,7/27/20,MN.7/27/20,381078
CO,3/3/20,CO.43893,51,Moderate,NO2,08-031-0028,5,not in list,,,VA,7/27/20,VA.7/27/20,629468
CO,3/4/20,CO.43924,40,Good,NO2,08-031-0028,5,not in list,,,IA,7/27/20,IA.7/27/20,310983
CO,3/5/20,CO.43954,38,Good,NO2,08-031-0028,5,not in list,,,MT,7/27/20,MT.7/27/20,27437
CO,3/6/20,CO.43985,51,Moderate,NO2,08-031-0002,5,not in list,,,TN,7/27/20,TN.7/27/20,737143
CO,3/7/20,CO.44015,44,Good,Ozone,08-031-0026,5,not in list,,,CT,7/27/20,CT.7/27/20,347779
CO,3/8/20,CO.44046,43,Good,NO2,08-031-0028,5,not in list,,,AS,7/27/20,AS.7/27/20,0
CO,3/9/20,CO.44077,43,Good,NO2,08-031-0028,5,668,,,VT,7/27/20,VT.7/27/20,9909
CO,3/10/20,CO.44107,43,Good,NO2,08-031-0028,5,not in list,,,MS,7/27/20,MS.7/27/20,407988
CO,3/11/20,CO.44138,51,Moderate,NO2,08-031-0028,5,not in list,,,WI,7/27/20,WI.7/27/20,398514
CO,3/12/20,CO.44168,38,Good,NO2,08-031-0028,5,not in list,,,ME,7/27/20,ME.7/27/20,27369
CO,3/13/20,CO.3/13/20,35,Good,PM2.5,08-031-0028,5,not in list,,,LA,7/27/20,LA.7/27/20,811445
CO,3/14/20,CO.3/14/20,44,Good,PM2.5,08-031-0028,5,not in list,,,AR,7/27/20,AR.7/27/20,296362
CO,3/15/20,CO.3/15/20,57,Moderate,PM2.5,08-031-0028,5,not in list,,,OK,7/27/20,OK.7/27/20,255183
CO,3/16/20,CO.3/16/20,47,Good,PM2.5,08-031-0028,5,2825,,,AZ,7/27/20,AZ.7/27/20,1213981
CO,3/17/20,CO.3/17/20,49,Good,PM2.5,08-031-0028,5,not in list,,,MI,7/27/20,MI.7/27/20,632754
CO,3/18/20,CO.3/18/20,52,Moderate,PM2.5,08-031-0028,5,not in list,,,PA,7/27/20,PA.7/27/20,783409
CO,3/19/20,CO.3/19/20,26,Good,Ozone,08-031-0002,4,not in list,,,SC,7/27/20,SC.7/27/20,621881
CO,3/20/20,CO.3/20/20,52,Moderate,PM2.5,08-031-0002,4,not in list,,,KY,7/27/20,KY.7/27/20,209806
CO,3/21/20,CO.3/21/20,60,Moderate,PM2.5,08-031-0028,5,not in list,,,DC,7/27/20,DC.7/27/20,84919
CO,3/22/20,CO.3/22/20,46,Good,Ozone,08-031-0026,5,not in list,,,NE,7/27/20,NE.7/27/20,180548
CO,3/23/20,CO.3/23/20,46,Good,NO2,08-031-0028,5,12157,,,VI,7/27/20,VI.7/27/20,2832
CO,3/24/20,CO.3/24/20,43,Good,Ozone,08-031-0026,5,not in list,,,AL,7/27/20,AL.7/27/20,613087
CO,3/25/20,CO.3/25/20,45,Good,Ozone,08-031-0026,5,not in list,,,GA,7/27/20,GA.7/27/20,1300637
CO,3/26/20,CO.3/26/20,53,Moderate,PM2.5,08-031-0028,5,not in list,,,AK,7/27/20,AK.7/27/20,21159
CO,3/27/20,CO.3/27/20,36,Good,PM2.5,08-031-0028,5,not in list,,,NV,7/27/20,NV.7/27/20,336132
CO,3/28/20,CO.3/28/20,44,Good,Ozone,08-031-0026,5,not in list,,,FL,7/27/20,FL.7/27/20,3235241
CO,3/29/20,CO.3/29/20,43,Good,Ozone,08-031-0026,5,not in list,,,TX,7/27/20,TX.7/27/20,2933609
CO,3/30/20,CO.3/30/20,40,Good,Ozone,08-031-0026,5,28896,,,UT,7/27/20,UT.7/27/20,281347
CO,3/31/20,CO.3/31/20,44,Good,Ozone,08-031-0026,5,not in list,,,IN,7/27/20,IN.7/27/20,462796
CO,4/1/20,CO.43834,43,Good,Ozone,08-031-0026,5,not in list,,,NM,7/27/20,NM.7/27/20,143857
CO,4/2/20,CO.43865,23,Good,Ozone,08-031-0002,5,not in list,,,ID,7/27/20,ID.7/27/20,141020
CO,4/3/20,CO.43894,41,Good,PM2.5,08-031-0028,5,not in list,,,MP,7/27/20,MP.7/27/20,297
CO,4/4/20,CO.43925,37,Good,Ozone,08-031-0026,5,not in list,,,NC,7/27/20,NC.7/27/20,851908
CO,4/5/20,CO.43955,42,Good,NO2,08-031-0028,5,not in list,,,GU,7/27/20,GU.7/27/20,2512
CO,4/6/20,CO.43986,46,Good,Ozone,08-031-0026,5,45683,,,WY,8/3/20,WY.43898,20870
CO,4/7/20,CO.44016,48,Good,Ozone,08-031-0026,5,not in list,,,DC,8/3/20,DC.43898,88161
CO,4/8/20,CO.44047,46,Good,NO2,08-031-0028,5,not in list,,,WI,8/3/20,WI.43898,440698
CO,4/9/20,CO.44078,48,Good,PM2.5,08-031-0027,5,not in list,,,ND,8/3/20,ND.43898,51252
CO,4/10/20,CO.44108,47,Good,Ozone,08-031-0026,5,not in list,,,AZ,8/3/20,AZ.43898,1291961
CO,4/11/20,CO.44139,47,Good,Ozone,08-031-0026,5,not in list,,,KY,8/3/20,KY.43898,236802
CO,4/12/20,CO.44169,37,Good,PM2.5,08-031-0028,5,not in list,,,CT,8/3/20,CT.43898,352107
CO,4/13/20,CO.4/13/20,38,Good,PM2.5,08-031-0028,5,63212,,,LA,8/3/20,LA.43898,898502
CO,4/14/20,CO.4/14/20,44,Good,Ozone,08-031-0026,5,not in list,,,SC,8/3/20,SC.43898,685732
CO,4/15/20,CO.4/15/20,41,Good,Ozone,08-031-0026,5,not in list,,,NE,8/3/20,NE.43898,194225
CO,4/16/20,CO.4/16/20,61,Moderate,NO2,08-031-0028,5,not in list,,,NV,8/3/20,NV.43898,381718
CO,4/17/20,CO.4/17/20,77,Moderate,PM2.5,08-031-0028,5,not in list,,,CO,8/3/20,CO.43898,348734
CO,4/18/20,CO.4/18/20,52,Moderate,PM2.5,08-031-0028,5,not in list,,,NM,8/3/20,NM.43898,153518
CO,4/19/20,CO.4/19/20,47,Good,Ozone,08-031-0026,5,not in list,,,CA,8/3/20,CA.43898,3774403
CO,4/20/20,CO.4/20/20,49,Good,Ozone,08-031-0026,5,85130,,,WV,8/3/20,WV.43898,51931
CO,4/21/20,CO.4/21/20,48,Good,Ozone,08-031-0026,5,not in list,,,SD,8/3/20,SD.43898,65636
CO,4/22/20,CO.4/22/20,46,Good,NO2,08-031-0028,5,not in list,,,NH,8/3/20,NH.43898,47303
CO,4/23/20,CO.4/23/20,43,Good,Ozone,08-031-0026,5,not in list,,,NJ,8/3/20,NJ.43898,1288292
CO,4/24/20,CO.4/24/20,37,Good,Ozone,08-031-0026,5,not in list,,,NY,8/3/20,NY.43898,2936925
CO,4/25/20,CO.4/25/20,44,Good,Ozone,08-031-0026,5,not in list,,,IL,8/3/20,IL.43898,1341335
CO,4/26/20,CO.4/26/20,43,Good,Ozone,08-031-0026,5,not in list,,,OR,8/3/20,OR.43898,144309
CO,4/27/20,CO.4/27/20,44,Good,Ozone,08-031-0026,5,109893,,,ME,8/3/20,ME.43898,28095
CO,4/28/20,CO.4/28/20,45,Good,Ozone,08-031-0026,5,not in list,,,VA,8/3/20,VA.43898,683073
CO,4/29/20,CO.4/29/20,51,Moderate,Ozone,08-031-0026,5,not in list,,,OH,8/3/20,OH.43898,690105
CO,4/30/20,CO.4/30/20,47,Good,NO2,08-031-0028,5,not in list,,,IA,8/3/20,IA.43898,334070
CO,5/1/20,CO.43835,47,Good,Ozone,08-031-0026,5,not in list,,,RI,8/3/20,RI.43898,137892
CO,5/2/20,CO.43866,33,Good,Ozone,08-031-0026,5,not in list,,,HI,8/3/20,HI.43898,20675
CO,5/3/20,CO.43895,48,Good,Ozone,08-031-0026,5,not in list,,,OK,8/3/20,OK.43898,294292
CO,5/4/20,CO.43926,51,Moderate,Ozone,08-031-0026,5,131349,,,VT,8/3/20,VT.43898,10132
CO,5/5/20,CO.43956,51,Moderate,Ozone,08-031-0026,5,not in list,,,PR,8/3/20,PR.43898,57977
CO,5/6/20,CO.43987,54,Moderate,Ozone,08-031-0026,5,not in list,,,FL,8/3/20,FL.43898,3572632
CO,5/7/20,CO.44017,64,Moderate,Ozone,08-031-0026,5,not in list,,,MS,8/3/20,MS.43898,456947
CO,5/8/20,CO.44048,44,Good,Ozone,08-031-0026,5,not in list,,,GU,8/3/20,GU.43898,2814
CO,5/9/20,CO.44079,42,Good,Ozone,08-031-0026,5,not in list,,,MP,8/3/20,MP.43898,331
CO,5/10/20,CO.44109,42,Good,Ozone,08-031-0026,5,not in list,,,PA,8/3/20,PA.43898,820920
CO,5/11/20,CO.44140,55,Moderate,PM2.5,08-031-0028,5,148475,,,TX,8/3/20,TX.43898,3311739
CO,5/12/20,CO.44170,70,Moderate,PM2.5,08-031-0028,5,not in list,,,IN,8/3/20,IN.43898,505106
CO,5/13/20,CO.5/13/20,48,Good,PM2.5,08-031-0028,5,not in list,,,MT,8/3/20,MT.43898,32960
CO,5/14/20,CO.5/14/20,42,Good,Ozone,08-031-0026,5,not in list,,,WA,8/3/20,WA.43898,448676
CO,5/15/20,CO.5/15/20,43,Good,Ozone,08-031-0026,5,not in list,,,MA,8/3/20,MA.43898,842077
CO,5/16/20,CO.5/16/20,50,Good,Ozone,08-031-0026,5,not in list,,,MD,8/3/20,MD.43898,657433
CO,5/17/20,CO.5/17/20,46,Good,Ozone,08-031-0026,5,not in list,,,ID,8/3/20,ID.43898,163103
CO,5/18/20,CO.5/18/20,50,Good,Ozone,08-031-0026,5,164364,,,AL,8/3/20,AL.43898,685990
CO,5/19/20,CO.5/19/20,50,Good,Ozone,08-031-0026,5,not in list,,,MO,8/3/20,MO.43898,397875
CO,5/20/20,CO.5/20/20,48,Good,Ozone,08-031-0026,5,not in list,,,MN,8/3/20,MN.43898,415281
CO,5/21/20,CO.5/21/20,51,Moderate,Ozone,08-031-0026,5,not in list,,,AS,8/3/20,AS.43898,0
CO,5/22/20,CO.5/22/20,54,Moderate,Ozone,08-031-0026,5,not in list,,,MI,8/3/20,MI.43898,667417
CO,5/23/20,CO.5/23/20,61,Moderate,Ozone,08-031-0026,5,not in list,,,TN,8/3/20,TN.43898,828882
CO,5/24/20,CO.5/24/20,37,Good,Ozone,08-031-0026,5,not in list,,,VI,8/3/20,VI.43898,3589
CO,5/25/20,CO.5/25/20,37,Good,Ozone,08-031-0026,5,179119,,,AR,8/3/20,AR.43898,334191
CO,5/26/20,CO.5/26/20,44,Good,Ozone,08-031-0026,5,not in list,,,GA,8/3/20,GA.43898,1462608
CO,5/27/20,CO.5/27/20,39,Good,Ozone,08-031-0026,5,not in list,,,UT,8/3/20,UT.43898,302793
CO,5/28/20,CO.5/28/20,42,Good,Ozone,08-031-0002,5,not in list,,,AK,8/3/20,AK.43898,24993
CO,5/29/20,CO.5/29/20,44,Good,Ozone,08-031-0026,5,not in list,,,NC,8/3/20,NC.43898,929356
CO,5/30/20,CO.5/30/20,46,Good,Ozone,08-031-0026,5,not in list,,,KS,8/3/20,KS.43898,211954
CO,5/31/20,CO.5/31/20,42,Good,Ozone,08-031-0026,5,not in list,,,DE,8/3/20,DE.43898,107954
CO,6/1/20,CO.43836,45,Good,Ozone,08-031-0002,5,192855,,,IN,8/10/20,IN.44112,549678
CO,6/2/20,CO.43867,44,Good,Ozone,08-031-0002,5,not in list,,,MO,8/10/20,MO.44112,455027
CO,6/3/20,CO.43896,46,Good,Ozone,08-031-0028,5,not in list,,,TN,8/10/20,TN.44112,910476
CO,6/4/20,CO.43927,41,Good,Ozone,08-031-0002,5,not in list,,,MN,8/10/20,MN.44112,446139
CO,6/5/20,CO.43957,43,Good,Ozone,08-031-0002,5,not in list,,,SC,8/10/20,SC.44112,733186
CO,6/6/20,CO.43988,77,Moderate,PM2.5,08-031-0002,5,not in list,,,ME,8/10/20,ME.44112,28833
CO,6/7/20,CO.44018,37,Good,Ozone,08-031-0002,5,not in list,,,CA,8/10/20,CA.44112,4217965
CO,6/8/20,CO.44049,44,Good,Ozone,08-031-0002,5,201761,,,WV,8/10/20,WV.44112,57961
CO,6/9/20,CO.44080,37,Good,Ozone,08-031-0002,5,not in list,,,NE,8/10/20,NE.44112,207231
CO,6/10/20,CO.44110,32,Good,Ozone,08-031-0002,5,not in list,,,PR,8/10/20,PR.44112,74826
CO,6/11/20,CO.44141,50,Good,Ozone,08-031-0002,5,not in list,,,OR,8/10/20,OR.44112,158440
CO,6/12/20,CO.44171,49,Good,Ozone,08-031-0002,5,not in list,,,MD,8/10/20,MD.44112,691882
CO,6/13/20,CO.6/13/20,49,Good,Ozone,08-031-0002,5,not in list,,,NV,8/10/20,NV.44112,417847
CO,6/14/20,CO.6/14/20,49,Good,Ozone,08-031-0002,5,not in list,,,GU,8/10/20,GU.44112,3438
CO,6/15/20,CO.6/15/20,64,Moderate,Ozone,08-031-0002,5,210796,,,CO,8/10/20,CO.44112,367338
CO,6/16/20,CO.6/16/20,60,Moderate,PM2.5,08-031-0028,5,not in list,,,AK,8/10/20,AK.44112,28525
CO,6/17/20,CO.6/17/20,87,Moderate,Ozone,08-031-0002,5,not in list,,,AL,8/10/20,AL.44112,745520
CO,6/18/20,CO.6/18/20,37,Good,Ozone,08-031-0002,5,not in list,,,VA,8/10/20,VA.44112,732584
CO,6/19/20,CO.6/19/20,44,Good,PM2.5,08-031-0002,5,not in list,,,NH,8/10/20,NH.44112,48562
CO,6/20/20,CO.6/20/20,48,Good,Ozone,08-031-0002,5,not in list,,,SD,8/10/20,SD.44112,70201
CO,6/21/20,CO.6/21/20,34,Good,Ozone,08-031-0002,5,not in list,,,VI,8/10/20,VI.44112,4836
CO,6/22/20,CO.6/22/20,46,Good,Ozone,08-031-0002,5,222163,,,MP,8/10/20,MP.44112,350
CO,6/23/20,CO.6/23/20,47,Good,Ozone,08-031-0002,5,not in list,,,TX,8/10/20,TX.44112,3648978
CO,6/24/20,CO.6/24/20,45,Good,PM2.5,08-031-0002,5,not in list,,,NM,8/10/20,NM.44112,161816
CO,6/25/20,CO.6/25/20,32,Good,PM2.5,08-031-0002,4,not in list,,,RI,8/10/20,RI.44112,142282
CO,6/26/20,CO.6/26/20,40,Good,NO2,08-031-0027,5,not in list,,,ID,8/10/20,ID.44112,185769
CO,6/27/20,CO.6/27/20,80,Moderate,Ozone,08-031-0026,5,not in list,,,NY,8/10/20,NY.44112,2968638
CO,6/28/20,CO.6/28/20,49,Good,Ozone,08-031-0026,5,not in list,,,KS,8/10/20,KS.44112,233646
CO,6/29/20,CO.6/29/20,53,Moderate,PM2.5,08-031-0002,5,234903,,,DE,8/10/20,DE.44112,113088
CO,6/30/20,CO.6/30/20,64,Moderate,Ozone,08-031-0026,5,not in list,,,AZ,8/10/20,AZ.44112,1340891
CO,7/1/20,CO.43837,64,Moderate,Ozone,08-031-0026,5,not in list,,,DC,8/10/20,DC.44112,91649
CO,7/2/20,CO.43868,56,Moderate,PM10,08-031-0002,5,not in list,,,MI,8/10/20,MI.44112,704272
CO,7/3/20,CO.43897,80,Moderate,Ozone,08-031-0026,5,not in list,,,NC,8/10/20,NC.44112,994124
CO,7/4/20,CO.43928,53,Moderate,PM2.5,08-031-0026,5,not in list,,,UT,8/10/20,UT.44112,321109
CO,7/5/20,CO.43958,52,Moderate,PM2.5,08-031-0002,5,not in list,,,WA,8/10/20,WA.44112,475931
CO,7/6/20,CO.43989,64,Moderate,Ozone,08-031-0026,5,252242,,,MA,8/10/20,MA.44112,858067
CO,7/7/20,CO.44019,44,Good,Ozone,08-031-0026,5,not in list,,,HI,8/10/20,HI.44112,30630
CO,7/8/20,CO.44050,61,Moderate,Ozone,08-031-0026,5,not in list,,,OH,8/10/20,OH.44112,744080
CO,7/9/20,CO.44081,90,Moderate,Ozone,08-031-0026,5,not in list,,,AS,8/10/20,AS.44112,0
CO,7/10/20,CO.44111,126,Unhealthy for Sensitive Groups,Ozone,08-031-0026,5,not in list,,,OK,8/10/20,OK.44112,327977
CO,7/11/20,CO.44142,93,Moderate,Ozone,08-031-0026,5,not in list,,,ND,8/10/20,ND.44112,57983
CO,7/12/20,CO.44172,58,Moderate,Ozone,08-031-0002,5,not in list,,,VT,8/10/20,VT.44112,10488
CO,7/13/20,CO.7/13/20,47,Good,Ozone,08-031-0026,5,274407,,,NJ,8/10/20,NJ.44112,1307835
CO,7/14/20,CO.7/14/20,51,Moderate,PM2.5,08-031-0027,5,not in list,,,GA,8/10/20,GA.44112,1620363
CO,7/15/20,CO.7/15/20,55,Moderate,PM2.5,08-031-0028,5,not in list,,,CT,8/10/20,CT.44112,356130
CO,7/16/20,CO.7/16/20,57,Moderate,PM2.5,08-031-0028,5,not in list,,,AR,8/10/20,AR.44112,363417
CO,7/17/20,CO.7/17/20,61,Moderate,Ozone,08-031-0026,5,not in list,,,IA,8/10/20,IA.44112,357346
CO,7/18/20,CO.7/18/20,58,Moderate,Ozone,08-031-0026,5,not in list,,,MS,8/10/20,MS.44112,494886
CO,7/19/20,CO.7/19/20,51,Moderate,Ozone,08-031-0026,5,not in list,,,WY,8/10/20,WY.44112,22305
CO,7/20/20,CO.7/20/20,61,Moderate,Ozone,08-031-0026,5,300741,,,WI,8/10/20,WI.44112,479588
CO,7/21/20,CO.7/21/20,100,Moderate,Ozone,08-031-0026,5,not in list,,,KY,8/10/20,KY.44112,266658
CO,7/22/20,CO.7/22/20,58,Moderate,Ozone,08-031-0026,5,not in list,,,IL,8/10/20,IL.44112,1426341
CO,7/23/20,CO.7/23/20,61,Moderate,Ozone,08-031-0026,5,not in list,,,LA,8/10/20,LA.44112,952745
CO,7/24/20,CO.7/24/20,48,Good,Ozone,08-031-0026,5,not in list,,,FL,8/10/20,FL.44112,3885835
CO,7/25/20,CO.7/25/20,43,Good,Ozone,08-031-0026,5,not in list,,,MT,8/10/20,MT.44112,38521
CO,7/26/20,CO.7/26/20,44,Good,Ozone,08-031-0026,5,not in list,,,PA,8/10/20,PA.44112,859586
CO,7/27/20,CO.7/27/20,64,Moderate,Ozone,08-031-0026,5,327074,,,PR,8/17/20,PR.8/17/20,91094
CO,7/28/20,CO.7/28/20,48,Good,Ozone,08-031-0026,4,not in list,,,VA,8/17/20,VA.8/17/20,776711
CO,7/29/20,CO.7/29/20,49,Good,Ozone,08-031-0026,5,not in list,,,MP,8/17/20,MP.8/17/20,378
CO,7/30/20,CO.7/30/20,49,Good,Ozone,08-031-0026,5,not in list,,,LA,8/17/20,LA.8/17/20,989798
CO,7/31/20,CO.7/31/20,61,Moderate,Ozone,08-031-0026,5,not in list,,,MD,8/17/20,MD.8/17/20,720306
CO,8/1/20,CO.43838,64,Moderate,Ozone,08-031-0026,5,not in list,,,WV,8/17/20,WV.8/17/20,63349
CO,8/2/20,CO.43869,80,Moderate,Ozone,08-031-0026,5,not in list,,,CA,8/17/20,CA.8/17/20,4555761
CO,8/3/20,CO.43898,90,Moderate,Ozone,08-031-0026,5,348734,,,MN,8/17/20,MN.8/17/20,476869
CO,8/4/20,CO.43929,87,Moderate,Ozone,08-031-0026,5,not in list,,,NM,8/17/20,NM.8/17/20,168541
CO,8/5/20,CO.43959,80,Moderate,Ozone,08-031-0026,5,not in list,,,IA,8/17/20,IA.8/17/20,383903
CO,8/6/20,CO.43990,50,Good,Ozone,08-031-0026,5,not in list,,,PA,8/17/20,PA.8/17/20,893252
CO,8/7/20,CO.44020,77,Moderate,Ozone,08-031-0026,5,not in list,,,UT,8/17/20,UT.8/17/20,338398
CO,8/8/20,CO.44051,101,Unhealthy for Sensitive Groups,Ozone,08-031-0026,5,not in list,,,MI,8/17/20,MI.8/17/20,737268
CO,8/9/20,CO.44082,87,Moderate,Ozone,08-031-0026,5,not in list,,,NH,8/17/20,NH.8/17/20,49486
CO,8/10/20,CO.44112,61,Moderate,Ozone,08-031-0026,5,367338,,,AK,8/17/20,AK.8/17/20,32249
CO,8/11/20,CO.44143,61,Moderate,Ozone,08-031-0026,5,not in list,,,KY,8/17/20,KY.8/17/20,294809
CO,8/12/20,CO.44173,64,Moderate,Ozone,08-031-0026,5,not in list,,,AR,8/17/20,AR.8/17/20,387787
CO,8/13/20,CO.8/13/20,105,Unhealthy for Sensitive Groups,Ozone,08-031-0026,5,not in list,,,WI,8/17/20,WI.8/17/20,515762
CO,8/14/20,CO.8/14/20,86,Moderate,PM2.5,08-031-0026,5,not in list,,,MS,8/17/20,MS.8/17/20,533101
CO,8/15/20,CO.8/15/20,74,Moderate,Ozone,08-031-0026,5,not in list,,,VT,8/17/20,VT.8/17/20,10809
CO,8/16/20,CO.8/16/20,74,Moderate,Ozone,08-031-0026,5,not in list,,,IL,8/17/20,IL.8/17/20,1521050
CO,8/17/20,CO.8/17/20,108,Unhealthy for Sensitive Groups,Ozone,08-031-0026,5,381715,,,FL,8/17/20,FL.8/17/20,4103213
CO,8/18/20,CO.8/18/20,75,Moderate,PM2.5,08-031-0026,5,not in list,,,MT,8/17/20,MT.8/17/20,43384
CO,8/19/20,CO.8/19/20,66,Moderate,PM2.5,08-031-0026,5,not in list,,,ND,8/17/20,ND.8/17/20,66019
CO,8/20/20,CO.8/20/20,87,Moderate,Ozone,08-031-0026,5,not in list,,,OH,8/17/20,OH.8/17/20,790471
CO,8/21/20,CO.8/21/20,126,Unhealthy for Sensitive Groups,Ozone,08-031-0026,5,not in list,,,MA,8/17/20,MA.8/17/20,874689
CO,8/22/20,CO.8/22/20,141,Unhealthy for Sensitive Groups,PM2.5,08-031-0026,5,not in list,,,AZ,8/17/20,AZ.8/17/20,1378068
CO,8/23/20,CO.8/23/20,150,Unhealthy for Sensitive Groups,Ozone,08-031-0026,5,not in list,,,NC,8/17/20,NC.8/17/20,1061677
CO,8/24/20,CO.8/24/20,147,Unhealthy for Sensitive Groups,Ozone,08-031-0026,5,396597,,,WA,8/17/20,WA.8/17/20,497822
CO,8/25/20,CO.8/25/20,122,Unhealthy for Sensitive Groups,Ozone,08-031-0026,5,not in list,,,WY,8/17/20,WY.8/17/20,24510
CO,8/26/20,CO.8/26/20,97,Moderate,Ozone,08-031-0026,5,not in list,,,DC,8/17/20,DC.8/17/20,94320
CO,8/27/20,CO.8/27/20,90,Moderate,Ozone,08-031-0026,5,not in list,,,DE,8/17/20,DE.8/17/20,117389
CO,8/28/20,CO.8/28/20,55,Moderate,PM2.5,08-031-0028,5,not in list,,,KS,8/17/20,KS.8/17/20,255916
CO,8/29/20,CO.8/29/20,48,Good,PM2.5,08-031-0028,5,not in list,,,NY,8/17/20,NY.8/17/20,2999135
CO,8/30/20,CO.8/30/20,50,Good,Ozone,08-031-0026,5,not in list,,,HI,8/17/20,HI.8/17/20,41540
CO,8/31/20,CO.8/31/20,54,Moderate,PM2.5,08-031-0027,5,410486,,,GA,8/17/20,GA.8/17/20,1744454
CO,9/1/20,CO.43839,39,Good,PM2.5,08-031-0013,5,not in list,,,CT,8/17/20,CT.8/17/20,360569
CO,9/2/20,CO.43870,44,Good,PM2.5,08-031-0002,4,not in list,,,OK,8/17/20,OK.8/17/20,360950
CO,9/3/20,CO.43899,55,Moderate,PM2.5,08-031-0028,5,not in list,,,MO,8/17/20,MO.8/17/20,510065
CO,9/4/20,CO.43930,56,Moderate,PM2.5,08-031-0002,5,not in list,,,OR,8/17/20,OR.8/17/20,170934
CO,9/5/20,CO.43960,39,Good,PM2.5,08-031-0026,5,not in list,,,CO,8/17/20,CO.8/17/20,381715
